ts	tid	pose	x	y	z	area	conf
2026-04-24 18:35:40	1	4	150	350	0	255	60
2026-04-24 18:35:41	0	4	-120	390	0	255	60
2026-04-24 18:35:41	1	4	150	350	0	255	60
2026-04-24 18:35:42	0	4	-120	390	0	255	60
2026-04-24 18:35:42	1	4	150	350	0	255	60
2026-04-24 18:35:43	0	4	-120	400	0	255	60
2026-04-24 18:35:43	1	4	150	350	0	255	60
2026-04-24 18:35:44	0	4	-130	400	0	255	60
2026-04-24 18:35:44	1	4	150	350	0	255	60
2026-04-24 18:35:45	0	4	-130	400	0	255	60
2026-04-24 18:35:45	1	4	150	350	0	255	60
2026-04-24 18:35:46	0	4	-130	390	0	255	60
2026-04-24 18:35:46	1	4	150	350	0	255	60
2026-04-24 18:35:47	0	4	-130	390	0	255	60
2026-04-24 18:35:47	1	4	150	350	0	255	60
2026-04-24 18:35:48	0	4	-130	390	0	255	60
2026-04-24 18:35:48	1	4	150	350	0	255	60
2026-04-24 18:35:49	0	4	-130	390	0	255	60
2026-04-24 18:35:49	1	4	150	350	0	255	60
2026-04-24 18:35:50	0	4	-130	390	0	255	60
2026-04-24 18:35:50	1	4	150	350	0	255	60
2026-04-24 18:35:51	0	4	-100	390	67	255	60
2026-04-24 18:35:51	1	4	150	350	0	255	60
2026-04-24 18:35:52	0	4	-80	380	62	255	60
2026-04-24 18:35:52	1	4	150	350	0	255	60
2026-04-24 18:35:53	0	4	-80	360	105	255	60
2026-04-24 18:35:53	1	4	150	350	0	255	60
2026-04-24 18:35:54	0	1	-20	330	78	255	60
2026-04-24 18:35:54	1	4	160	340	0	255	60
2026-04-24 18:35:55	0	1	0	290	78	255	60
2026-04-24 18:35:55	1	4	170	290	0	255	60
2026-04-24 18:35:56	0	1	10	270	90	255	60
2026-04-24 18:35:56	1	4	180	260	0	255	60
2026-04-24 18:35:57	0	1	20	240	60	255	60
2026-04-24 18:35:57	1	1	180	210	0	255	60
2026-04-24 18:35:58	0	1	30	250	0	255	60
2026-04-24 18:35:58	1	1	180	220	0	255	60
2026-04-24 18:35:59	0	3	30	230	0	255	60
2026-04-24 18:35:59	1	4	170	230	0	255	60
2026-04-24 18:36:00	0	3	30	230	0	255	60
2026-04-24 18:36:00	1	4	170	230	0	255	60
2026-04-24 18:36:01	0	3	30	230	0	255	60
2026-04-24 18:36:01	1	4	170	230	0	255	60
2026-04-24 18:36:02	0	3	30	230	0	255	60
2026-04-24 18:36:02	1	4	170	230	0	255	60
2026-04-24 18:36:03	0	3	30	230	0	255	60
2026-04-24 18:36:03	1	4	170	230	0	255	60
2026-04-24 18:36:04	0	4	20	260	54	255	60
2026-04-24 18:36:04	1	4	180	220	0	255	60
2026-04-24 18:36:05	0	4	0	280	88	255	60
2026-04-24 18:36:05	1	4	180	270	0	255	60
2026-04-24 18:36:06	0	1	0	320	76	255	60
2026-04-24 18:36:06	1	4	200	310	0	255	60
2026-04-24 18:36:07	0	1	0	370	71	255	60
2026-04-24 18:36:07	1	1	210	350	0	255	60
2026-04-24 18:36:08	0	1	-10	410	71	255	60
2026-04-24 18:36:08	1	1	220	380	0	255	60
2026-04-24 18:36:09	0	1	10	410	99	255	60
2026-04-24 18:36:09	1	4	220	370	0	255	60
2026-04-24 18:36:10	0	1	-10	380	94	255	60
2026-04-24 18:36:10	1	4	190	380	0	255	60
2026-04-24 18:36:11	0	1	-80	370	77	255	60
2026-04-24 18:36:11	1	4	220	370	0	255	60
2026-04-24 18:36:12	0	1	-100	390	68	255	60
2026-04-24 18:36:12	1	4	170	400	0	255	60
2026-04-24 18:36:13	0	1	-100	370	0	255	60
2026-04-24 18:36:13	1	4	160	400	0	255	60
2026-04-24 18:36:14	0	4	-100	370	0	255	60
2026-04-24 18:36:14	1	4	170	400	0	255	60
2026-04-24 18:36:15	0	4	-100	370	0	255	60
2026-04-24 18:36:15	1	4	170	400	0	255	60
2026-04-24 18:36:16	0	4	-90	370	0	255	60
2026-04-24 18:36:16	1	4	170	400	0	255	60
2026-04-24 18:36:17	0	4	-90	370	0	255	60
2026-04-24 18:36:17	1	4	170	400	0	255	60
2026-04-24 18:36:18	0	4	-90	370	0	255	60
2026-04-24 18:36:18	1	4	170	400	0	255	60
2026-04-24 18:36:19	0	4	-90	370	0	255	60
2026-04-24 18:36:19	1	4	170	400	0	255	60
2026-04-24 18:36:20	0	4	-90	370	0	255	60
2026-04-24 18:36:20	1	4	170	400	0	255	60
2026-04-24 18:36:21	0	4	-90	370	0	255	60
2026-04-24 18:36:21	1	4	170	400	0	255	60
2026-04-24 18:36:22	0	4	-90	370	0	255	60
2026-04-24 18:36:22	1	4	170	400	0	255	60
2026-04-24 18:36:23	0	4	-90	370	0	255	60
2026-04-24 18:36:23	1	4	170	400	0	255	60
2026-04-24 18:36:24	0	4	-90	370	0	255	60
2026-04-24 18:36:24	1	4	170	400	0	255	60
2026-04-24 18:36:25	0	4	-90	370	0	255	60
2026-04-24 18:36:25	1	4	170	400	0	255	60
2026-04-24 18:36:26	0	4	-90	370	0	255	60
2026-04-24 18:36:26	1	4	170	400	0	255	60
2026-04-24 18:36:27	0	4	-90	370	0	255	60
2026-04-24 18:36:27	1	4	170	400	0	255	60
2026-04-24 18:36:28	0	4	-90	370	0	255	60
2026-04-24 18:36:28	1	4	170	400	0	255	60
2026-04-24 18:36:29	0	4	-90	370	0	255	60
2026-04-24 18:36:29	1	4	170	400	0	255	60
2026-04-24 18:36:30	0	4	-90	370	0	255	60
2026-04-24 18:36:30	1	4	170	400	0	255	60
2026-04-24 18:36:31	0	4	-90	370	0	255	60
2026-04-24 18:36:31	1	4	170	400	0	255	60
2026-04-24 18:36:32	0	4	-90	370	0	255	60
2026-04-24 18:36:32	1	4	170	400	0	255	60
