ts	tid	pose	x	y	z	area	conf
2026-04-24 19:24:36	1	4	140	-20	0	255	60
2026-04-24 19:24:37	0	3	50	-30	0	12	60
2026-04-24 19:24:37	1	4	140	-20	0	255	60
2026-04-24 19:24:38	0	3	50	-30	0	12	60
2026-04-24 19:24:38	1	4	140	-20	0	255	60
2026-04-24 19:24:39	0	3	50	-30	0	12	60
2026-04-24 19:24:39	1	4	140	-20	0	255	60
2026-04-24 19:24:40	0	3	50	-30	0	12	60
2026-04-24 19:24:40	1	4	140	-20	0	255	60
2026-04-24 19:24:41	0	3	50	-30	0	12	60
2026-04-24 19:24:41	1	4	140	-20	0	255	60
2026-04-24 19:24:42	0	3	50	-30	0	12	60
2026-04-24 19:24:42	1	4	140	-20	0	255	60
2026-04-24 19:24:43	0	3	50	-30	0	12	60
2026-04-24 19:24:43	1	4	140	-20	0	255	60
2026-04-24 19:24:44	0	3	50	-30	0	12	60
2026-04-24 19:24:44	1	4	140	-20	0	255	60
2026-04-24 19:24:45	0	3	50	-30	0	12	60
2026-04-24 19:24:45	1	4	140	-20	0	255	60
2026-04-24 19:24:46	0	3	50	-30	0	12	60
2026-04-24 19:24:46	1	4	140	-20	0	255	60
2026-04-24 19:24:47	0	3	50	-30	0	12	60
2026-04-24 19:24:47	1	4	140	-20	0	255	60
2026-04-24 19:24:48	0	3	50	-30	0	12	60
2026-04-24 19:24:48	1	4	140	-20	0	255	60
2026-04-24 19:24:49	0	3	50	-20	0	12	60
2026-04-24 19:24:49	1	4	140	-20	0	255	60
2026-04-24 19:24:50	0	3	50	-30	0	12	60
2026-04-24 19:24:50	1	4	140	-20	0	255	60
2026-04-24 19:24:51	0	3	50	-30	0	12	60
2026-04-24 19:24:51	1	4	140	-20	0	255	60
2026-04-24 19:24:52	0	3	50	-30	0	12	60
2026-04-24 19:24:52	1	4	140	-20	0	255	60
2026-04-24 19:24:53	0	3	50	-30	0	12	60
2026-04-24 19:24:53	1	4	140	-20	0	255	60
2026-04-24 19:24:54	0	3	50	-30	0	12	60
2026-04-24 19:24:54	1	4	140	-20	0	255	60
2026-04-24 19:24:55	0	3	50	-30	0	12	60
2026-04-24 19:24:55	1	4	140	-20	0	255	60
2026-04-24 19:24:56	0	3	50	-30	0	12	60
2026-04-24 19:24:56	1	4	140	-20	0	255	60
2026-04-24 19:24:57	0	3	50	-30	0	12	60
2026-04-24 19:24:57	1	4	140	-20	0	255	60
2026-04-24 19:24:58	0	3	50	-30	0	12	60
2026-04-24 19:24:58	1	4	140	-20	0	255	60
2026-04-24 19:24:59	0	3	50	-30	0	12	60
2026-04-24 19:24:59	1	4	140	-20	0	255	60
2026-04-24 19:25:00	0	3	50	-30	0	12	60
2026-04-24 19:25:00	1	4	140	-20	0	255	60
2026-04-24 19:25:01	0	3	50	-30	0	12	60
2026-04-24 19:25:01	1	4	140	-20	0	255	60
2026-04-24 19:25:02	0	3	50	-30	0	12	60
2026-04-24 19:25:02	1	4	140	-20	0	255	60
2026-04-24 19:25:03	0	3	50	-30	0	12	60
2026-04-24 19:25:03	1	4	140	-20	0	255	60
2026-04-24 19:25:04	0	3	50	-30	0	12	60
2026-04-24 19:25:04	1	4	140	-20	0	255	60
2026-04-24 19:25:05	0	3	50	-30	0	12	60
2026-04-24 19:25:05	1	4	140	-20	0	255	60
2026-04-24 19:25:06	0	3	50	-30	0	12	60
2026-04-24 19:25:06	1	4	140	-20	0	255	60
2026-04-24 19:25:07	0	3	50	-30	0	12	60
2026-04-24 19:25:07	1	4	140	-20	0	255	60
2026-04-24 19:25:08	0	3	50	-30	0	12	60
2026-04-24 19:25:08	1	4	140	-20	0	255	60
2026-04-24 19:25:08	0	3	50	-30	0	12	60
2026-04-24 19:25:08	1	4	140	-20	0	255	60
2026-04-24 19:25:09	0	3	50	-20	0	12	60
2026-04-24 19:25:09	1	4	140	-20	101	255	60
2026-04-24 19:25:10	0	3	50	-10	0	12	60
2026-04-24 19:25:10	1	4	130	-40	0	255	60
2026-04-24 19:25:11	0	3	40	-10	72	12	60
2026-04-24 19:25:11	1	4	140	-30	0	255	60
2026-04-24 19:25:12	0	3	40	-10	0	12	60
2026-04-24 19:25:12	1	4	130	-30	0	255	60
2026-04-24 19:25:13	0	3	40	-20	0	12	60
2026-04-24 19:25:13	1	4	130	-30	0	255	60
2026-04-24 19:25:14	0	3	40	-20	0	12	60
2026-04-24 19:25:14	1	4	130	-30	0	255	60
2026-04-24 19:25:15	0	3	40	-20	0	12	60
2026-04-24 19:25:15	1	4	130	-30	0	255	60
2026-04-24 19:25:16	0	3	40	-20	0	12	60
2026-04-24 19:25:16	1	4	130	-30	0	255	60
2026-04-24 19:25:17	0	3	50	-30	0	12	60
2026-04-24 19:25:17	1	4	130	-30	0	255	60
2026-04-24 19:25:18	0	3	50	-30	0	12	60
2026-04-24 19:25:18	1	4	130	-30	0	255	60
2026-04-24 19:25:19	0	3	50	-30	0	12	60
2026-04-24 19:25:19	1	4	130	-30	0	255	60
2026-04-24 19:25:20	0	3	50	-30	0	12	60
2026-04-24 19:25:20	1	4	130	-30	0	255	60
2026-04-24 19:25:21	0	3	50	-30	0	12	60
2026-04-24 19:25:21	1	4	130	-30	0	255	60
2026-04-24 19:25:22	0	3	50	-30	0	12	60
2026-04-24 19:25:22	1	4	130	-30	0	255	60
2026-04-24 19:25:23	0	3	50	-30	0	12	60
2026-04-24 19:25:23	1	4	130	-30	0	255	60
2026-04-24 19:25:24	0	3	50	-30	0	12	60
2026-04-24 19:25:24	1	4	130	-30	0	255	60
2026-04-24 19:25:25	0	3	50	-30	0	12	60
2026-04-24 19:25:25	1	4	130	-30	0	255	60
2026-04-24 19:25:26	0	3	50	-30	0	12	60
2026-04-24 19:25:26	1	4	130	-30	0	255	60
2026-04-24 19:25:27	0	3	50	-30	0	12	60
2026-04-24 19:25:27	1	4	130	-30	0	255	60
