# CABB 4D8710D5CABB  room fd00:0:3:411:1:200::/88  Unit tz=Asia/Shanghai(UTC+8)
# window 17:44:00-18:02:30 local | source: PG monitor_stream(radar.track) + event_log
# pose: 1=Walking 3=Sitting 4=Standing 7=SuspectedSitOnGround 8=SitOnGround | note: walking / SITONGROUND / Z>80
# ----------------------------------------------------------------------
17:47:07  pose4  z0    xy( -90,  60) tid1   
17:47:07  pose3  z0    xy(  40,  10) tid0   
17:47:07  pose4  z0    xy( -90,  60) tid1   
17:47:07  pose3  z0    xy(  40,  10) tid0   
17:47:08  pose4  z0    xy( -90,  60) tid1   
17:47:08  pose3  z0    xy(  40,  10) tid0   
17:47:09  pose3  z0    xy(  40,  10) tid0   
17:47:09  pose4  z0    xy( -90,  60) tid1   
17:47:10  pose4  z0    xy( -90,  60) tid1   
17:47:10  pose3  z0    xy(  40,  10) tid0   
17:47:11  pose4  z0    xy( -90,  60) tid1   
17:47:11  pose3  z0    xy(  40,  10) tid0   
17:47:12  pose4  z0    xy( -90,  60) tid1   
17:47:12  pose3  z0    xy(  40,  10) tid0   
17:47:13  pose4  z0    xy( -90,  60) tid1   
17:47:13  pose3  z0    xy(  40,  10) tid0   
17:47:14  pose4  z0    xy( -90,  60) tid1   
17:47:14  pose3  z0    xy(  40,  10) tid0   
17:47:15  pose4  z0    xy( -90,  60) tid1   
17:47:15  pose3  z0    xy(  40,  10) tid0   
17:47:16  pose4  z0    xy( -90,  60) tid1   
17:47:16  pose3  z0    xy(  40,  10) tid0   
17:47:17  pose4  z0    xy( -90,  60) tid1   
17:47:17  pose3  z0    xy(  40,  10) tid0   
17:47:18  pose4  z0    xy( -90,  60) tid1   
17:47:18  pose3  z0    xy(  40,  10) tid0   
17:47:19  pose4  z0    xy( -90,  60) tid1   
17:47:19  pose3  z0    xy(  40,  10) tid0   
17:47:20  pose3  z0    xy(  40,  10) tid0   
17:47:20  pose4  z0    xy( -90,  60) tid1   
17:47:21  pose4  z0    xy( -90,  60) tid1   
17:47:21  pose3  z0    xy(  40,  10) tid0   
17:47:22  pose4  z0    xy( -90,  60) tid1   
17:47:22  pose3  z0    xy(  40,  10) tid0   
17:47:23  pose4  z0    xy( -90,  60) tid1   
17:47:23  pose3  z0    xy(  40,  10) tid0   
17:47:24  pose3  z0    xy(  40,  10) tid0   
17:47:24  pose4  z0    xy( -90,  60) tid1   
17:47:25  pose4  z0    xy( -90,  60) tid1   
17:47:25  pose3  z0    xy(  40,  10) tid0   
17:47:26  pose4  z0    xy( -90,  60) tid1   
17:47:26  pose3  z0    xy(  40,  10) tid0   
17:47:27  pose4  z0    xy( -90,  60) tid1   
17:47:27  pose3  z0    xy(  40,  10) tid0   
17:47:27  pose3  z0    xy(  40,  10) tid0   
17:47:27  pose4  z0    xy( -90,  60) tid1   
17:47:27  >>>>>> EVENT: ExitRoom
17:47:28  >>>>>> EVENT: number_people (1)
17:47:28  pose4  z0    xy( -90,  60) tid1   
17:47:29  pose4  z0    xy( -90,  60) tid1   
17:47:30  pose4  z0    xy( -90,  60) tid1   
17:47:31  pose4  z0    xy( -90,  60) tid1   
17:47:32  pose4  z0    xy( -90,  60) tid1   
17:47:33  pose4  z0    xy( -90,  60) tid1   
17:47:35  pose4  z0    xy( -90,  60) tid1   
17:47:35  pose4  z0    xy( -90,  60) tid1   
17:47:37  pose4  z0    xy( -90,  60) tid1   
17:47:37  pose4  z0    xy( -90,  60) tid1   
17:47:38  pose4  z0    xy( -90,  60) tid1   
17:47:39  pose4  z101  xy( -90,  50) tid1   Z>80
17:47:40  pose4  z104  xy( -80,  40) tid1   Z>80
17:47:41  pose4  z111  xy( -90,  40) tid1   Z>80
17:47:42  pose4  z129  xy( -80,  40) tid1   Z>80
17:47:43  pose4  z0    xy( -80,  30) tid1   
17:47:44  pose4  z0    xy( -80,  30) tid1   
17:47:45  pose4  z0    xy( -80,  30) tid1   
17:47:47  pose4  z0    xy( -80,  30) tid1   
17:47:47  pose4  z0    xy( -80,  30) tid1   
17:47:48  pose4  z0    xy( -80,  30) tid1   
17:47:49  pose4  z0    xy( -80,  30) tid1   
17:47:50  pose4  z0    xy( -80,  30) tid1   
17:47:51  pose4  z0    xy( -80,  30) tid1   
17:47:52  pose4  z0    xy( -80,  30) tid1   
17:47:53  pose4  z0    xy( -80,  30) tid1   
17:47:54  pose4  z0    xy( -80,  30) tid1   
17:47:55  pose4  z124  xy( -80,  40) tid1   Z>80
17:47:56  pose4  z105  xy( -70,  30) tid1   Z>80
17:47:57  pose4  z0    xy( -70,  30) tid1   
17:47:58  pose4  z0    xy( -70,  30) tid1   
17:47:59  pose4  z0    xy( -70,  30) tid1   
17:48:00  pose4  z0    xy( -70,  30) tid1   
17:48:02  pose4  z0    xy( -70,  30) tid1   
17:48:02  pose4  z0    xy( -70,  30) tid1   
17:48:02  pose4  z0    xy( -70,  30) tid1   
17:48:03  pose4  z0    xy( -70,  30) tid1   
17:48:04  pose4  z0    xy( -70,  30) tid1   
17:48:05  pose4  z0    xy( -70,  30) tid1   
17:48:06  pose4  z0    xy( -70,  30) tid1   
17:48:07  pose4  z0    xy( -70,  30) tid1   
17:48:08  pose4  z0    xy( -70,  30) tid1   
17:48:09  pose4  z0    xy( -70,  30) tid1   
17:48:10  pose4  z0    xy( -70,  30) tid1   
17:48:11  pose4  z0    xy( -70,  30) tid1   
