bj	topic_type	category	data_value
2026-05-05 06:46:50.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:51.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:52.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:53.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:54.000	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-05 06:46:54.000	event	activity	[{"track_id": 9, "event_since": 1777934814573, "track_count": 1, "event_status": "instant", "lie_duration": 0, "walk_distance": 1, "walk_duration": 10, "stand_duration": 8, "multi_person_duration": 0}]
2026-05-05 06:46:54.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:55.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:56.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:57.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:58.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:46:59.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:00.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:01.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:02.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:03.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:04.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:05.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:06.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:07.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:08.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
