mdt	device_uid	topic_type	category	data_value
2026-05-04 00:04:34.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:35.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:36.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 88, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:37.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:38.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:39.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:40.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 30, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:41.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 30, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:42.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:43.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 91, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:44.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:45.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:46.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 92, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:47.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:48.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:49.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:50.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
