2026-06-30 08:04:55.488 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 460, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:56.486 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 460, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:57.489 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 460, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:58.503 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:04:59.439 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:00.442 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:01.441 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:02.439 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:03.440 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:04.443 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:05.441 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:06.447 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:07.443 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:08.451 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:09.451 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 450, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
